Categoria;Comportamento;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;T12;T13;T14;T15;T16;T17;T18;T19;T20;T21;T22;T23;T24;T25;T26;T27;T28;T29;T30;T31;T32;T33;T34;T35;T36;T37;T38;T39;T40;T41;T42;T43;T44;T45;T46;T47;T48;T49;T50;;;;;;;;;;
Interação com outros indivíduos;Procurando parasita nas costas do parceiro;;;;;;;;;;1;;1;;;;;;;1;2;2;;1;1;1;1;1;;;;;;;;;;;;1;;;;;;;1;1;;;;;;;;;;;;;
Interação com outros indivíduos;Procurando parasitas na cabeça do parceiro;;2;;;;;1;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;
Interação com outros indivíduos;Procurando parasita na barriga do colega;;;;;1;;;;;;;;;;;;;;;;1;;;;1;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
Interação com outros indivíduos;Coçando o rosto do colega;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interação com outros indivíduos;Lambendo a cara do colega;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interação com outros indivíduos;Mamando;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interação com outros indivíduos;Roubando comida do parceiro;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;
Interação com outros indivíduos;Comida roubada pelo parceiro do recinto ao lado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interação com outros indivíduos;Mais de três indivíduos parados juntos;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interação com outros indivíduos;Mais de três indivíduos sentados juntos;;;;;;;;;1;;;;;;;;;;;1;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interação com outros indivíduos;Comendo da boca do outro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;
Forrageamento/alimentação;Mastigando;;;;;1;1;1;;;;;;;;;;;;1;;2;1;2;;;;2;;;;;;1;1;4;;;;;1;;;;3;1;;;;;;;;;;;;;;;
Forrageamento/alimentação;Levando a comida até a boca;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;
Forrageamento/alimentação;Descascando fruta;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;
Forrageamento/alimentação;Carregando fruta com a boca;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;
Forrageamento/alimentação;Comendo fruta que forrageou do chão;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Forrageamento/alimentação;Segurando comida com a mão;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;4;;;;;;;;;;;;;;;;;;;;;;;;;
Forrageamento/alimentação;Manipulando comida com a mão;;;;;1;1;;;;;;;;;;;;;1;;2;;2;;;;2;;;;;;;1;4;;;;;1;;1;;2;1;;1;;;;;;;;;;;;;
Forrageamento/alimentação;Manipulando comida com as duas mãos;;;;;;;1;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;1;;;;1;1;;;;;;;;;;;;;;;
Forrageamento/alimentação;Manipulou dois alimentos ao mesmo tempo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Forrageamento/alimentação;Pegando comida no recinto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;
Forrageamento/alimentação;Procurando coisas na terra;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Forrageamento/alimentação;Cavando buraco com pata dianteira;;;;;;;;;;;;;;;1;;1;;;;;1;;;1;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Forrageamento/alimentação;Forrageio no tronco;;;;;;;2;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;
Forrageamento/alimentação;Mordendo o tronco;;;;;;;2;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;
Forrageamento/alimentação;Mexendo no galho;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Forrageamento/alimentação;Cutucando no galho;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Forrageamento/alimentação;Lambendo a pedra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Forrageamento/alimentação;Cutucando a pedra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Forrageamento/alimentação;Bebendo água;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Forrageamento/alimentação;Mordendo folha;;;;;1;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vocalização;Vocalização baixa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;
Vocalização;Vocalização alta;;;;;;;;;;;;2;;;;;;2;;;;;;;;;;;;;;;;1;4;;;;;;;;;;;;;;;;;;;;;;;;;
Vocalização;Interagindo vocalmente com um mico-leão do lado;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
